nome,sigla,abrangencia,sede,fundacao,site_oficial
FIFA,FIFA,Mundo,Zurique,1904,https://www.fifa.com
CONMEBOL,CONMEBOL,América do Sul,Luque,1916,https://www.conmebol.com
UEFA,UEFA,Europa,Nyon,1954,https://www.uefa.com
CONCACAF,CONCACAF,América do Norte,Miami,1961,https://www.concacaf.com
CAF,CAF,África,Cairo,1957,https://www.cafonline.com
AFC,AFC,Ásia,Kuala Lumpur,1954,https://www.the-afc.com
OFC,OFC,Oceania,Auckland,1966,https://www.oceaniafootball.com
CBF,CBF,Brasil,Rio de Janeiro,1914,https://www.cbf.com.br
AFA,AFA,Argentina,Buenos Aires,1893,https://www.afa.com.ar
AUF,AUF,Uruguai,Montevidéu,1900,https://www.auf.org.uy
FA,FA,Inglaterra,Londres,1863,https://www.thefa.com
RFEF,RFEF,Espanha,Las Rozas,1909,https://rfef.es
FIGC,FIGC,Itália,Roma,1898,https://www.figc.it
DFB,DFB,Alemanha,Frankfurt,1900,https://www.dfb.de
FFF,FFF,França,Paris,1919,https://www.fff.fr
FPF,FPF,Portugal,Oeiras,1914,https://www.fpf.pt
