competicao,ano,sede,campeao,vice,terceiro,quarto,observacao
Copa do Mundo FIFA,1930,Uruguai,Uruguai,Argentina,,,Primeira edição
Copa do Mundo FIFA,1958,Suécia,Brasil,Suécia,,,
Copa do Mundo FIFA,1962,Chile,Brasil,Tchecoslováquia,,,
Copa do Mundo FIFA,1970,México,Brasil,Itália,,,
Copa do Mundo FIFA,1994,Estados Unidos,Brasil,Itália,,,
Copa do Mundo FIFA,2002,Coreia do Sul/Japão,Brasil,Alemanha,,,
Copa do Mundo FIFA,2022,Catar,Argentina,França,,,
Copa Libertadores,2019,,Flamengo,River Plate,,,Final única em Lima
Copa Libertadores,2020,,Palmeiras,Santos,,,Final no Maracanã
Copa Libertadores,2021,,Palmeiras,Flamengo,,,Final em Montevidéu
Copa Libertadores,2022,,Flamengo,Athletico Paranaense,,,
Copa Libertadores,2023,,Fluminense,Boca Juniors,,,
Copa do Brasil,2022,,Flamengo,Corinthians,,,
Copa do Brasil,2023,,São Paulo,Flamengo,,,
Copa do Brasil,2024,,Flamengo,Atlético Mineiro,,,
