competicao,ano,participante,colocacao,observacao
Copa do Mundo FIFA,1930,Uruguai,1,Campeão
Copa do Mundo FIFA,1930,Argentina,2,Vice-campeão
Copa do Mundo FIFA,1958,Brasil,1,Campeão
Copa do Mundo FIFA,1958,Suécia,2,Vice-campeão
Copa do Mundo FIFA,1962,Brasil,1,Campeão
Copa do Mundo FIFA,1962,Tchecoslováquia,2,Vice-campeão
Copa do Mundo FIFA,1970,Brasil,1,Campeão
Copa do Mundo FIFA,1970,Itália,2,Vice-campeão
Copa do Mundo FIFA,1994,Brasil,1,Campeão
Copa do Mundo FIFA,1994,Itália,2,Vice-campeão
Copa do Mundo FIFA,2002,Brasil,1,Campeão
Copa do Mundo FIFA,2002,Alemanha,2,Vice-campeão
Copa do Mundo FIFA,2022,Argentina,1,Campeão
Copa do Mundo FIFA,2022,França,2,Vice-campeão
Copa Libertadores,2019,Flamengo,1,Campeão
Copa Libertadores,2019,River Plate,2,Vice-campeão
Copa Libertadores,2020,Palmeiras,1,Campeão
Copa Libertadores,2020,Santos,2,Vice-campeão
Copa Libertadores,2021,Palmeiras,1,Campeão
Copa Libertadores,2021,Flamengo,2,Vice-campeão
Copa Libertadores,2022,Flamengo,1,Campeão
Copa Libertadores,2022,Athletico Paranaense,2,Vice-campeão
Copa Libertadores,2023,Fluminense,1,Campeão
Copa Libertadores,2023,Boca Juniors,2,Vice-campeão
Copa do Brasil,2022,Flamengo,1,Campeão
Copa do Brasil,2022,Corinthians,2,Vice-campeão
Copa do Brasil,2023,São Paulo,1,Campeão
Copa do Brasil,2023,Flamengo,2,Vice-campeão
Copa do Brasil,2024,Flamengo,1,Campeão
Copa do Brasil,2024,Atlético Mineiro,2,Vice-campeão
