id,nome,tipo,abrangencia,continente_id,pais_id,logo_url,ativa,created_at,temporada_inicio,temporada_fim,organizador,nivel,genero,confederacao_id,sigla,descricao,divisao,periodicidade,primeira_edicao,site_oficial,escudo_id,status,categoria
,Copa do Mundo FIFA,selecoes,mundo,,,,True,,,,FIFA,mundial,masculino,,World Cup,Principal competição mundial de seleções masculinas.,1,4 anos,1930,https://www.fifa.com,,Ativa,Profissional
,Copa do Mundo Feminina FIFA,selecoes,mundo,,,,True,,,,FIFA,mundial,feminino,,WWC,Principal competição mundial de seleções femininas.,1,4 anos,1991,https://www.fifa.com,,Ativa,Profissional
,Mundial de Clubes FIFA,clubes,mundo,,,,True,,,,FIFA,mundial,masculino,,CWC,Competição mundial de clubes organizada pela FIFA.,1,Anual,2000,https://www.fifa.com,,Ativa,Profissional
,Copa América,selecoes,continente,,,,True,,,,CONMEBOL,continental,masculino,,CA,Principal competição de seleções da América do Sul.,1,4 anos,1916,https://www.conmebol.com,,Ativa,Profissional
,Copa Libertadores,clubes,continente,,,,True,,,,CONMEBOL,continental,masculino,,LIB,Principal competição de clubes da América do Sul.,1,Anual,1960,https://www.conmebol.com,,Ativa,Profissional
,Copa Sul-Americana,clubes,continente,,,,True,,,,CONMEBOL,continental,masculino,,SUD,Segunda competição de clubes da América do Sul.,2,Anual,2002,https://www.conmebol.com,,Ativa,Profissional
,Recopa Sul-Americana,clubes,continente,,,,True,,,,CONMEBOL,continental,masculino,,REC,Supercopa entre campeões da Libertadores e Sul-Americana.,1,Anual,1989,https://www.conmebol.com,,Ativa,Profissional
,UEFA Champions League,clubes,continente,,,,True,,,,UEFA,continental,masculino,,UCL,Principal competição de clubes da Europa.,1,Anual,1955,https://www.uefa.com,,Ativa,Profissional
,UEFA Europa League,clubes,continente,,,,True,,,,UEFA,continental,masculino,,UEL,Segunda competição de clubes da Europa.,2,Anual,1971,https://www.uefa.com,,Ativa,Profissional
,UEFA Conference League,clubes,continente,,,,True,,,,UEFA,continental,masculino,,UECL,Terceira competição de clubes da Europa.,3,Anual,2021,https://www.uefa.com,,Ativa,Profissional
,Supercopa da UEFA,clubes,continente,,,,True,,,,UEFA,continental,masculino,,USC,Supercopa europeia entre campeões continentais.,1,Anual,1973,https://www.uefa.com,,Ativa,Profissional
,Eurocopa,selecoes,continente,,,,True,,,,UEFA,continental,masculino,,EURO,Principal competição de seleções da Europa.,1,4 anos,1960,https://www.uefa.com,,Ativa,Profissional
,CONCACAF Champions Cup,clubes,continente,,,,True,,,,CONCACAF,continental,masculino,,CCC,Principal competição de clubes da CONCACAF.,1,Anual,1962,https://www.concacaf.com,,Ativa,Profissional
