nome,sigla,tipo,abrangencia,pais,continente,organizacao,divisao,genero,primeira_edicao,periodicidade,status
Copa do Mundo FIFA,World Cup,selecoes,mundo,,,FIFA,1,masculino,1930,4 anos,Ativa
Copa do Mundo Feminina FIFA,WWC,selecoes,mundo,,,FIFA,1,feminino,1991,4 anos,Ativa
Mundial de Clubes FIFA,CWC,clubes,mundo,,,FIFA,1,masculino,2000,Anual,Ativa
Copa Intercontinental FIFA,Intercontinental,clubes,mundo,,,FIFA,1,masculino,2024,Anual,Ativa
Copa América,CA,selecoes,continente,,América do Sul,CONMEBOL,1,masculino,1916,4 anos,Ativa
Copa América Feminina,CAF,selecoes,continente,,América do Sul,CONMEBOL,1,feminino,1991,4 anos,Ativa
Copa Libertadores,LIB,clubes,continente,,América do Sul,CONMEBOL,1,masculino,1960,Anual,Ativa
Copa Sul-Americana,SUD,clubes,continente,,América do Sul,CONMEBOL,2,masculino,2002,Anual,Ativa
Recopa Sul-Americana,REC,clubes,continente,,América do Sul,CONMEBOL,1,masculino,1989,Anual,Ativa
UEFA Champions League,UCL,clubes,continente,,Europa,UEFA,1,masculino,1955,Anual,Ativa
UEFA Europa League,UEL,clubes,continente,,Europa,UEFA,2,masculino,1971,Anual,Ativa
UEFA Conference League,UECL,clubes,continente,,Europa,UEFA,3,masculino,2021,Anual,Ativa
Supercopa da UEFA,USC,clubes,continente,,Europa,UEFA,1,masculino,1973,Anual,Ativa
Eurocopa,EURO,selecoes,continente,,Europa,UEFA,1,masculino,1960,4 anos,Ativa
Liga das Nações da UEFA,UNL,selecoes,continente,,Europa,UEFA,1,masculino,2018,2 anos,Ativa
CONCACAF Champions Cup,CCC,clubes,continente,,América do Norte,CONCACAF,1,masculino,1962,Anual,Ativa
Copa Ouro,Gold Cup,selecoes,continente,,América do Norte,CONCACAF,1,masculino,1963,2 anos,Ativa
Leagues Cup,LC,clubes,continente,,América do Norte,CONCACAF,1,masculino,2019,Anual,Ativa
CAF Champions League,CAF CL,clubes,continente,,África,CAF,1,masculino,1964,Anual,Ativa
CAF Confederation Cup,CAF CC,clubes,continente,,África,CAF,2,masculino,2004,Anual,Ativa
Copa Africana de Nações,AFCON,selecoes,continente,,África,CAF,1,masculino,1957,2 anos,Ativa
AFC Champions League Elite,ACLE,clubes,continente,,Ásia,AFC,1,masculino,1967,Anual,Ativa
AFC Champions League Two,ACL2,clubes,continente,,Ásia,AFC,2,masculino,2004,Anual,Ativa
Copa da Ásia,Asian Cup,selecoes,continente,,Ásia,AFC,1,masculino,1956,4 anos,Ativa
OFC Champions League,OFC CL,clubes,continente,,Oceania,OFC,1,masculino,1987,Anual,Ativa
Copa das Nações da OFC,OFC Nations,selecoes,continente,,Oceania,OFC,1,masculino,1973,4 anos,Ativa
Campeonato Brasileiro Série A,Brasileirão,clubes,pais,Brasil,América do Sul,CBF,1,masculino,1959,Anual,Ativa
Campeonato Brasileiro Série B,Série B,clubes,pais,Brasil,América do Sul,CBF,2,masculino,1971,Anual,Ativa
Campeonato Brasileiro Série C,Série C,clubes,pais,Brasil,América do Sul,CBF,3,masculino,1981,Anual,Ativa
Campeonato Brasileiro Série D,Série D,clubes,pais,Brasil,América do Sul,CBF,4,masculino,2009,Anual,Ativa
Copa do Brasil,CDB,clubes,pais,Brasil,América do Sul,CBF,1,masculino,1989,Anual,Ativa
Supercopa do Brasil,SCB,clubes,pais,Brasil,América do Sul,CBF,1,masculino,1990,Anual,Ativa
Campeonato Paulista,Paulistão,clubes,pais,Brasil,América do Sul,FPF,1,masculino,1902,Anual,Ativa
Campeonato Carioca,Carioca,clubes,pais,Brasil,América do Sul,FERJ,1,masculino,1906,Anual,Ativa
Campeonato Mineiro,Mineiro,clubes,pais,Brasil,América do Sul,FMF,1,masculino,1915,Anual,Ativa
Campeonato Gaúcho,Gauchão,clubes,pais,Brasil,América do Sul,FGF,1,masculino,1919,Anual,Ativa
Primera División Argentina,LPF,clubes,pais,Argentina,América do Sul,AFA,1,masculino,1891,Anual,Ativa
Copa Argentina,Copa ARG,clubes,pais,Argentina,América do Sul,AFA,1,masculino,1969,Anual,Ativa
