nome,nome_curto,pais,continente,cidade,estado,fundacao,estadio,liga_principal,cores
Flamengo,Flamengo,Brasil,América do Sul,Rio de Janeiro,RJ,1895,Maracanã,Campeonato Brasileiro Série A,vermelho e preto
Corinthians,Corinthians,Brasil,América do Sul,São Paulo,SP,1910,Neo Química Arena,Campeonato Brasileiro Série A,preto e branco
Palmeiras,Palmeiras,Brasil,América do Sul,São Paulo,SP,1914,Allianz Parque,Campeonato Brasileiro Série A,verde e branco
São Paulo,São Paulo,Brasil,América do Sul,São Paulo,SP,1930,Morumbi,Campeonato Brasileiro Série A,"vermelho, branco e preto"
Santos,Santos,Brasil,América do Sul,Santos,SP,1912,Vila Belmiro,Campeonato Brasileiro Série A,preto e branco
Vasco da Gama,Vasco,Brasil,América do Sul,Rio de Janeiro,RJ,1898,São Januário,Campeonato Brasileiro Série A,preto e branco
Fluminense,Fluminense,Brasil,América do Sul,Rio de Janeiro,RJ,1902,Maracanã,Campeonato Brasileiro Série A,"verde, grená e branco"
Botafogo,Botafogo,Brasil,América do Sul,Rio de Janeiro,RJ,1904,Nilton Santos,Campeonato Brasileiro Série A,preto e branco
Grêmio,Grêmio,Brasil,América do Sul,Porto Alegre,RS,1903,Arena do Grêmio,Campeonato Brasileiro Série A,"azul, preto e branco"
Internacional,Inter,Brasil,América do Sul,Porto Alegre,RS,1909,Beira-Rio,Campeonato Brasileiro Série A,vermelho e branco
Cruzeiro,Cruzeiro,Brasil,América do Sul,Belo Horizonte,MG,1921,Mineirão,Campeonato Brasileiro Série A,azul e branco
Atlético Mineiro,Atlético-MG,Brasil,América do Sul,Belo Horizonte,MG,1908,Arena MRV,Campeonato Brasileiro Série A,preto e branco
Athletico Paranaense,Athletico-PR,Brasil,América do Sul,Curitiba,PR,1924,Ligga Arena,Campeonato Brasileiro Série A,vermelho e preto
Coritiba,Coritiba,Brasil,América do Sul,Curitiba,PR,1909,Couto Pereira,Campeonato Brasileiro Série B,verde e branco
Bahia,Bahia,Brasil,América do Sul,Salvador,BA,1931,Arena Fonte Nova,Campeonato Brasileiro Série A,"azul, vermelho e branco"
