nome,sigla,continente_id,sede,fundacao,logo_url,site_oficial
FIFA,FIFA,,Zurique,1904,,https://www.fifa.com
UEFA,UEFA,7,Nyon,1954,,https://www.uefa.com
CONMEBOL,CONMEBOL,4,Luque,1916,,https://www.conmebol.com
CONCACAF,CONCACAF,3,Miami,1961,,https://www.concacaf.com
CAF,CAF,1,Cairo,1957,,https://www.cafonline.com
AFC,AFC,5,Kuala Lumpur,1954,,https://www.the-afc.com
OFC,OFC,8,Auckland,1966,,https://www.oceaniafootball.com
CBF,CBF,4,Rio de Janeiro,1914,,https://www.cbf.com.br
AFA,AFA,4,Buenos Aires,1893,,https://www.afa.com.ar
AUF,AUF,4,Montevidéu,1900,,https://www.auf.org.uy
FA,FA,7,Londres,1863,,https://www.thefa.com
RFEF,RFEF,7,Las Rozas,1909,,https://rfef.es
FIGC,FIGC,7,Roma,1898,,https://www.figc.it
DFB,DFB,7,Frankfurt,1900,,https://www.dfb.de
FFF,FFF,7,Paris,1919,,https://www.fff.fr
FPF,FPF,7,Oeiras,1914,,https://www.fpf.pt
