pais_id,nome,cidade,estado,capacidade,inauguracao,imagem_url
80,Maracanã,Rio de Janeiro,RJ,,,
80,Neo Química Arena,São Paulo,SP,,,
80,Allianz Parque,São Paulo,SP,,,
80,Morumbi,São Paulo,SP,,,
80,Vila Belmiro,Santos,SP,,,
78,La Bombonera,Buenos Aires,,,,
78,Monumental,Buenos Aires,,,,
150,Santiago Bernabéu,Madrid,,,,
150,Camp Nou,Barcelona,,,,
156,Old Trafford,Manchester,,,,
156,Anfield,Liverpool,,,,
160,Allianz Stadium,Turim,,,,
160,San Siro,Milão,,,,
137,Allianz Arena,Munique,,,,
153,Parc des Princes,Paris,,,,
