pais_id,nome,nome_curto,apelido,cidade,estado,fundacao,site_oficial,escudo_url,estadio,capacidade_estadio,cores,ativo
81,Flamengo,Flamengo,Mengão,Rio de Janeiro,RJ,1895,https://www.flamengo.com.br,,Maracanã,78838,vermelho e preto,True
81,Corinthians,Corinthians,Timão,São Paulo,SP,1910,https://www.corinthians.com.br,,Neo Química Arena,49205,preto e branco,True
81,Palmeiras,Palmeiras,Verdão,São Paulo,SP,1914,https://www.palmeiras.com.br,,Allianz Parque,43713,verde e branco,True
81,São Paulo,São Paulo,Tricolor Paulista,São Paulo,SP,1930,https://www.saopaulofc.net,,Morumbi,66795,"vermelho, branco e preto",True
81,Santos,Santos,Peixe,Santos,SP,1912,https://www.santosfc.com.br,,Vila Belmiro,16068,preto e branco,True
81,Vasco da Gama,Vasco,Gigante da Colina,Rio de Janeiro,RJ,1898,https://www.vasco.com.br,,São Januário,21880,preto e branco,True
81,Fluminense,Fluminense,Tricolor Carioca,Rio de Janeiro,RJ,1902,https://www.fluminense.com.br,,Maracanã,78838,"verde, grená e branco",True
81,Botafogo,Botafogo,Glorioso,Rio de Janeiro,RJ,1904,https://www.botafogo.com.br,,Nilton Santos,44661,preto e branco,True
81,Grêmio,Grêmio,Imortal,Porto Alegre,RS,1903,https://gremio.net,,Arena do Grêmio,55662,"azul, preto e branco",True
81,Internacional,Inter,Colorado,Porto Alegre,RS,1909,https://internacional.com.br,,Beira-Rio,50128,vermelho e branco,True
81,Cruzeiro,Cruzeiro,Raposa,Belo Horizonte,MG,1921,https://www.cruzeiro.com.br,,Mineirão,61846,azul e branco,True
81,Atlético Mineiro,Atlético-MG,Galo,Belo Horizonte,MG,1908,https://atletico.com.br,,Arena MRV,46000,preto e branco,True
81,Athletico Paranaense,Athletico-PR,Furacão,Curitiba,PR,1924,https://www.athletico.com.br,,Ligga Arena,42372,vermelho e preto,True
81,Bahia,Bahia,Esquadrão,Salvador,BA,1931,https://www.esporteclubebahia.com.br,,Arena Fonte Nova,47907,"azul, vermelho e branco",True
